Timestamp,Provider,Counter Name,Counter Type,Mean/Increment
08/13/2026 18:52:42,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=poh],Metric,8184
08/13/2026 18:52:42,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen1],Metric,657120
08/13/2026 18:52:42,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=loh],Metric,0
08/13/2026 18:52:42,System.Runtime,dotnet.jit.compilation.time (s / 1 sec),Rate,0.016747199999999962
08/13/2026 18:52:42,System.Runtime,dotnet.timer.count ({timer}),Metric,0
08/13/2026 18:52:42,System.Runtime,dotnet.jit.compiled_methods ({method} / 1 sec),Rate,21
08/13/2026 18:52:42,System.Runtime,dotnet.process.cpu.time (s / 1 sec)[cpu.mode=user],Rate,1.140625
08/13/2026 18:52:42,System.Runtime,dotnet.process.cpu.time (s / 1 sec)[cpu.mode=system],Rate,0.015625
08/13/2026 18:52:42,System.Runtime,dotnet.process.memory.working_set (By),Metric,48111616
08/13/2026 18:52:42,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen0],Metric,456
08/13/2026 18:52:42,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen2],Metric,32
08/13/2026 18:52:42,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=poh],Metric,0
08/13/2026 18:52:42,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen1],Metric,13680
08/13/2026 18:52:42,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=loh],Metric,0
08/13/2026 18:52:42,System.Runtime,dotnet.thread_pool.work_item.count ({work_item} / 1 sec),Rate,0
08/13/2026 18:52:42,System.Runtime,dotnet.gc.pause.time (s / 1 sec),Rate,0.034337000000000006
08/13/2026 18:52:42,System.Runtime,dotnet.gc.heap.total_allocated (By / 1 sec),Rate,1276555424
08/13/2026 18:52:43,System.Runtime,dotnet.gc.last_collection.memory.committed_size (By),Metric,14569472
08/13/2026 18:52:43,System.Runtime,dotnet.thread_pool.thread.count ({thread} / 1 sec),Rate,0
08/13/2026 18:52:43,System.Runtime,dotnet.jit.compiled_il.size (By / 1 sec),Rate,5755
08/13/2026 18:52:43,System.Runtime,dotnet.monitor.lock_contentions ({contention} / 1 sec),Rate,0
08/13/2026 18:52:43,System.Runtime,dotnet.assembly.count ({assembly}),Metric,16
08/13/2026 18:52:43,System.Runtime,dotnet.process.cpu.count ({cpu}),Metric,16
08/13/2026 18:52:43,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen0],Rate,52
08/13/2026 18:52:43,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen2],Rate,1
08/13/2026 18:52:43,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen1],Rate,91
08/13/2026 18:52:43,System.Runtime,dotnet.thread_pool.queue.length ({work_item} / 1 sec),Rate,0
08/13/2026 18:52:43,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen0],Metric,560
08/13/2026 18:52:43,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen2],Metric,248528
08/13/2026 18:52:43,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=poh],Metric,8184
08/13/2026 18:52:43,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen1],Metric,26208
08/13/2026 18:52:43,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=loh],Metric,0
08/13/2026 18:52:43,System.Runtime,dotnet.jit.compilation.time (s / 1 sec),Rate,0.05025170000000001
08/13/2026 18:52:43,System.Runtime,dotnet.timer.count ({timer}),Metric,0
08/13/2026 18:52:43,System.Runtime,dotnet.jit.compiled_methods ({method} / 1 sec),Rate,85
